entity,relation,value
Reset Intestino,has_ean,8059591580905
Reset Intestino,has_sku,241
Reset Intestino,contains_active,100% naturali utili per una “pulizia” del colon e dell’intestino:  favoriscono il   benessere intestinale attraverso un  “effetto detox”.
Rilassa Mente,has_ean,8059591580455
Rilassa Mente,has_sku,74
Rilassa Mente,has_health_area,Integratori Naturali Rilassanti
Sanaos Nuova Formula,has_ean,8059591580547
Sanaos Nuova Formula,has_sku,84
Sanaos Nuova Formula,has_health_area,"Integratori Naturali per Articolazioni, Tendini e Legamenti"
Sanuril Formula Potenziata,has_ean,8059591580479
Sanuril Formula Potenziata,has_sku,76
Sanuril Formula Potenziata,has_health_area,Integratori Naturali per il Benessere delle Vie Urinarie
Serena Notte,has_ean,8059591580486
Serena Notte,has_sku,77
Serena Notte,has_health_area,Integratori Naturali per Dormire
Sincrovir,has_ean,8059591580530
Sincrovir,has_sku,83
Sincrovir,has_health_area,Integratori Naturali per il Vigore Maschile
Sport 1 Endurance,has_ean,8059591580493
Sport 1 Endurance,has_sku,78
Sport 1 Endurance,has_health_area,Integratori Naturali per lo Sport e la Resistenza Fisica
Sport 2 Recupero,has_ean,8059591580509
Sport 2 Recupero,has_sku,79
Sport 2 Recupero,has_health_area,Integratori Naturali per il Recupero dello Sportivo
Succo di Acai Bio,has_ean,8059591580585
Succo di Acai Bio,has_sku,89
Succo di Acai Bio,has_health_area,Integratori Naturali per Colesterolo e Trigliceridi
Succo di Acerola Bio,has_ean,8059591580592
Succo di Acerola Bio,has_sku,90
Succo di Acerola Bio,has_health_area,Integratori Naturali per le Difese Immunitarie e le Ossa
Succo di Aloe Vera Bio,has_ean,8059591580608
Succo di Aloe Vera Bio,has_sku,91
Succo di Aloe Vera Bio,has_health_area,"Integratori Naturali per Stomaco, Intestino e Depurazione"
Succo di Aronia Bio,has_ean,8059591580615
Succo di Aronia Bio,has_sku,92
Succo di Aronia Bio,has_health_area,Integratori Naturali Antiossidanti
Succo di Cranberry Bio,has_ean,8059591580622
Succo di Cranberry Bio,has_sku,93
Succo di Cranberry Bio,has_health_area,Integratori Naturali per il Benessere delle Vie Urinarie
Succo di Goji Bio,has_ean,8059591580639
Succo di Goji Bio,has_sku,94
Succo di Goji Bio,has_health_area,Integratori Naturali Energizzanti
Succo di Mangostano Bio,has_ean,8059591580646
Succo di Mangostano Bio,has_sku,95
Succo di Mangostano Bio,has_health_area,Integratori Naturali per il Benessere Gastrointestinale
Succo di Maqui Bio,has_ean,8059591580653
Succo di Maqui Bio,has_sku,96
Succo di Maqui Bio,has_health_area,Integratori Naturali Antiossidanti
Succo di Melograno Bio,has_ean,8059591580660
Succo di Melograno Bio,has_sku,97
Succo di Melograno Bio,has_health_area,Integratori Naturali Antiossidanti
Succo di Noni Bio,has_ean,8059591580677
Succo di Noni Bio,has_sku,98
Succo di Noni Bio,has_health_area,Integratori Naturali Energizzanti
Succo di Olivello Spinoso Bio,has_ean,8059591580684
Succo di Olivello Spinoso Bio,has_sku,99
Succo di Olivello Spinoso Bio,has_health_area,Integratori Naturali Energizzanti
Succo di Sambuco Bio,has_ean,8059591580691
Succo di Sambuco Bio,has_sku,220
Succo di Sambuco Bio,has_health_area,Integratori Naturali per le Difese Immunitarie e le Ossa
Venasal,has_ean,8059591580332
Venasal,has_sku,87
Venasal,has_health_area,Integratori Naturali per Vene e Circolazione
